player_id,player,estimated_skill_mean
350,tgun,0.36600712
728,FuRy,0.36544624
271,Comm,0.3637084
525,Jona,0.3621595
487,Hawk,0.35376394
244,Ein,0.35156476
295,Miniraser,0.3384339
163,Jinro,0.33661732
287,HayprO,0.3328266
387,Arium,0.332163
365,Snitchables,0.3216201
464,HappyZerG,0.31786567
400,FLY,0.31648317
390,Melle,0.313322
615,RunA,0.31244233
451,Boombox,0.3030256
346,drewbie,0.29130512
281,Eiki,0.27943313
859,SpellSinger,0.2777271
201,EnDerr,0.27747914
867,ToM,0.27510425
355,Chick,0.27321324
592,Ash,0.27105254
561,Monty,0.27022642
597,Botvinnik,0.25723547
608,Kalin,0.2546474
801,XiaRu,0.25427705
839,CheeseKing,0.24847408
518,PhoeNix,0.23808521
402,SaroVati,0.23721859
359,MiNiMaTh,0.23346686
486,KoMA,0.22994153
894,Neige,0.22883302
301,Delphi,0.2229458
396,Drunkenboi,0.22239038
576,Senin,0.22145721
596,DarkHydra,0.21561325
741,TcUltimate,0.2145432
388,AlaStOr,0.21301877
282,StarNaN,0.20488891
288,NoRegreT,0.19557212
129,HalfBreed,0.1931758
494,Gatored,0.19270214
566,PandaTank,0.18847103
579,ELVIS,0.18369986
742,GenjiTakiya,0.17986692
292,Tarrantius,0.17515089
724,SeoHyeon,0.16242914
697,Jimpo,0.1608938
820,BlueCheese,0.15925327
349,Prebs,0.15757895
635,Zervas,0.1573803
650,Ignite,0.15385218
368,merz,0.15174785
372,Axslav,0.14442196
407,Fuzer,0.13836952
598,Chubz,0.13684373
211,Seither,0.13504371
560,DeathAngel,0.13264184
770,MaSsan,0.13141866
648,Hellraiser,0.1290907
918,Elifas,0.12167475
740,Elbegast,0.120697305
319,F91,0.11934455
366,PainUser,0.11753479
427,uzer,0.11745022
229,Slam,0.112843
817,DeathMask,0.10853299
884,Seala,0.10524918
530,SLiDeR,0.104869336
490,Aristeo,0.096532956
442,Attero,0.0915153
516,Sparta,0.0866422
409,Clannad,0.08027633
502,DBS,0.07983228
816,Armax,0.07400435
542,TubbyTheFat,0.07382405
776,Unix,0.07357353
664,Naugrim,0.06768631
467,mOoNan,0.063774236
495,viPro,0.05285547
435,DdoRo,0.05032034
431,Light,0.04226993
484,FeaR,0.04024556
630,Ciara,0.03771378
323,Ball,0.036348876
326,Uhen,0.036342792
690,Sonic,0.032728232
712,Tiger,0.030000333
637,Poker,0.029965509
448,NeOAnGeL,0.021826182
527,BreakingGG,0.021379212
979,Quent,0.02031643
310,SLusH,0.014961535
675,Miszu,0.00994329
364,KawaiiRice,0.009659991
256,Courage,0.009542687
543,Clem,0.003653722
661,PredY,0.0035852874
824,monsteuh,-0.0001904479
401,PoYo,-0.0018869643
